Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P108,ADV,winter_2024,3rd year,NA,Psychology and Sociology,"English: Advanced, Cantonese, Intermediate, Mandarin: Beginner, Japanese: Beginner",Yes,NA,,,,,,Yes,4 = frequently,Feedback (ask AI to provide comments on your work),NA,I use it to check if I answered the prompt and if I can improve in any areas,Somewhat understand,Strongly agree,Somewhat disagree,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Strongly agree,,,"It gives an unbiased opinion for my writing. It also is quick and efficient, even if it’s not the best",It can be seen as cheating. It is not always accurate.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P109,ECO,winter_2024,4th year,NA,Ecological management and restoration,English- advanced,Yes,NA,,,,,,Yes,2 = infrequently,Other,Food recipes,For revisions,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,"An additional alternative perspective, better at catching grammatical errors",Lots of concern about being accused of plagiarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P11,HSW,winter_2024,4th year,NA,"Neurobiology, Physiology, and Behavior","English: advanced, Telugu: advanced, French: beginner",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,Other,explain bio concepts,NA,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Good for brainstorming and coming up with titles,It can stop one from brainstorming ideas on their own,4th year,NA,"Neurobiology, physiology, and behavior","English, telugu- advanced",Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Strongly agree
P110,ECO,winter_2024,Other,2nd year transfer (3yr community college = 5yr total),BS Environmental Horticulture and Urban Forestry,English: advanced,Yes,NA,,,,,,Yes,2 = infrequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Writing (ask AI to write paragraphs),Other",Using AI to summarize and clarify confusing topics,"The main reason I use chat GBT is to get a clear explanation on something i’m not completely understanding. if I need to write a paragraph about something, i’ll ask chat GBT to write something first for me to read and inspire my own writing ideas.",Somewhat understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Useful in timely situations where you want feedback but don’t have time to talk to a person,i’m not quite sure how an AI program can proficiently revise a writing assignment and give me constructive feedback.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P111,ADV,winter_2024,3rd year,NA,Biological Science (major)/ Political Science (minor),"English: native, Vietnamese: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Writing (ask AI to write paragraphs)",NA,#NAME?,Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,No impact on confidence,Strongly agree,,,#NAME?,#NAME?,3rd year,NA,Biological Science/Political Science,"English: advanced, Vietnamese: advanced, Spanish: beginner",Yes,NA,,,Yes,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,Peer feedback,NA,Strongly agree,Somewhat agree
P112,ADV,winter_2024,5th year,NA,Evolutionary Anthropology,English Native,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Strongly disagree,Strongly agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,NA,Strongly agree,,,None,Getting original content flagged as AI,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P113,ENV,winter_2024,1st year,NA,Sociology,"English: advanced, Korean: intermediate",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"I ask it to tell me how I can improve, what parts are not clear, and sometimes when I am using MLA format, just to double check if I cited correctly.",Understand very well,Somewhat agree,Neither agree nor disagree,No,NA,NA,Less confident about my writing,Strongly agree,,,Advantages can be helping you improve your writing and get other views,Disadvantage can be that you are somewhat not really learning but easily getting it from an easy access.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P114,ADV,winter_2024,2nd year,NA,Psychology,English: Advanced Spanish:Intermiduate,No,9,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Grammar and revision of sentences,Understand very well,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,"Feedback on punctuation, grammar and revision",Overdependence and sometimes can be incorrect,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P115,HSW,winter_2024,4th year,NA,Psychology,"English: Advanced, Punjabi: Proficient",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations",NA,No impact on confidence,Neither agree nor disagree,,,An advantage of getting feedback for my writing through AI would be that it can help edit my writing but not revise it.,"I think AI would be disadvantageous in that it would not be able to critique one's analysis properly. The ability for it to comprehend if something is confusing, does not offer enough depth, or lacks strong evidence is minimal.",4th year,NA,Psychology,"English: advanced, Punjabi: Advanced, French: Intermediate",Yes,NA,,,No,NA,Yes,NA,Asian/Pacific Islander,,,No impact on confidence,AI and peer feedback used together,NA,Strongly agree,Somewhat disagree
P116,FYW,winter_2024,1st year,NA,Agricultural and Environmental Technology,English-advanced,Yes,NA,,,,,,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,Just gives good feedback without me having to go bother someone.,Understand very well,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Helps to make the writing better by clearing up miscommunications and bad grammar.,Can be used in a harmful way that negatively impacts experience,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P117,ADV,winter_2024,4th year,NA,Design,"English: Advanced, Vietnamese: Beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,Grammatical/syntax checker,May give nonsensical or inaccurate advice,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P118,HSW,winter_2024,4th year,NA,NPB,English - advanced mandarin - proficient Cantonese - proficient,Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I use grammarly to check for essay writing so that my writing is more clear,Neither understand nor do NOT understand,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Strongly agree,,,AI can only give brief feedback,Online AI cannot be as precise as a human,4th year,NA,NPB,"mandarin- proficient, cantonese-advanced",Yes,NA,,,Yes,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Neither agree nor disagree,Neither agree nor disagree
P119,ENV,winter_2024,1st year,NA,Animal science,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,No,NA,NA,Less confident about my writing,Somewhat agree,,,It will help me write faster possibly but it can also be limiting.,It could possibly sound robotic.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P12,ECO,winter_2024,4th year,NA,Landscape Architecture,english- advanced,No,2,,,,,,Yes,2 = infrequently,Other,finding list of plants to put in landscaping,finding list of plants to put in landscaping,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P120,ENV,winter_2024,1st year,NA,nutritional science,"english- advanced tagalog-intermediate, beginner",No,3,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Somewhat agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Strongly agree,,,"chat gpt can provide another opinion on how to improve my writing, especially in the case i need a quick fix and is more efficient",i don’t want to misuse it on accident and cause myself to get in trouble. i don’t know how it works really so i don’t want to do something wrong on accident,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P121,HSW,winter_2024,5th year,NA,Human Biology,Spanish and english - Advanced on both,Yes,NA,,,,,,Yes,2 = infrequently,Other,Ideas,NA,Neither understand nor do NOT understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions",NA,Less confident about my writing,Neither agree nor disagree,,,finding ways to elaborate on ideas that I have not previously though about,it is an easy way to get assignments done without the need to do in depth research z,5th year,NA,Human Biology and Chicano Studies,"Spanish: Advanced, English: Advanced",Yes,NA,,,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P122,HSW,winter_2024,3rd year,NA,Psychology,"English: advanced, Vietnamese: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Writing (ask AI to write paragraphs)",NA,"AI may be able to connect thoughts that I have into coherent sentences, which sometimes helps develop my writing.",Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,More confident about my writing,Strongly agree,,,"Using AI for feedback may allow me to see inconsistencies or errors in my writing that I might have missed myself. It can also be helpful in explaining exactly where or why pieces of my writing are unclear, which allows me to improve based on concrete feedback.",Using AI for feedback may diminish my personal voice in my writing if I choose to revise my writing based on the feedback.,3rd year,NA,Psychology,"English: advanced, Vietnamese: intermediate",Yes,NA,,,Yes,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,Peer feedback,NA,Strongly agree,Strongly agree
P123,ECO,winter_2024,Other,PhD 2nd,PhD Ecology,English: advanced,Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Understand very well,Somewhat agree,Neither agree nor disagree,No,NA,NA,Unsure,Strongly agree,,,Turnaround time,"Likely to use 'popular' writing advice, which is often unconstructive and/or grossly misapplied.",Other,PhD 2nd year,Ecology,"English - Native, French - Intermediate, Japanese - Beginner",Yes,NA,,,No,NA,Yes,NA,White/Caucasian,,,More confident about my writing,Peer feedback,NA,Somewhat agree,Somewhat disagree
P124,ADV,winter_2024,3rd year,NA,Data Science,English: Advanced,Yes,NA,,,,,,Yes,2 = infrequently,Other,"Brainstorming, Idea generation",Sometimes I use it to list out the obvious possibilities to make sure that I haven't missed anything,Understand very well,Somewhat agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,It is faster and more consistent than talking with another person,ChatGPT will often only go for the obvious responses and will often miss the point of a question,3rd year,NA,Data Science,English: advanced,Yes,NA,,,No,NA,Yes,NA,White/Caucasian,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Somewhat agree
P125,FYW,winter_2024,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,3rd year,NA,Animal Science,English: Advanced Spanish: Intermediate,Yes,NA,,,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,,,More confident about my writing,Peer feedback,NA,Strongly agree,Neither agree nor disagree
P126,ECO,winter_2024,4th year,NA,Landscape Architecture,English: advanced,Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,Somewhat understand,Somewhat agree,Somewhat disagree,No,NA,NA,No impact on confidence,Somewhat agree,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P127,ENV,winter_2024,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,2nd year,NA,Economic,English: advanced spanish advanced,No,2,,,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,,,More confident about my writing,AI feedback,NA,Strongly agree,Strongly agree
P128,HSW,winter_2024,5th year,NA,pharmaceutical chemistry,"English: Advanced, Spanish: advanced",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat agree,No,NA,NA,Less confident about my writing,Strongly agree,,,helps create a guideline to start an assignement. Aids in word choice,creates unreliable or made up sources,5th year,NA,Pharmaceutical chemistry,Spanish-intermediate,Yes,NA,,,Yes,NA,Yes,NA,Hispanic/Latinx/Chicanx,,,Less confident about my writing,Peer feedback,NA,Strongly agree,Somewhat agree
P129,ECO,winter_2024,4th year,NA,Environmental Science and management,"English Advanced, Cantonese Beginner",Yes,NA,,,,,,Yes,4 = frequently,Writing (ask AI to write paragraphs),NA,I often have AI write out topic sentences and make outlines for essays,Somewhat do NOT understand,Somewhat agree,Strongly agree,No,NA,NA,No impact on confidence,Neither agree nor disagree,,,It helps make sentences sound well and concise,It makes some sentences unorignal. I have found ChatGPT to copy online articles word for word.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P13,ENV,winter_2024,1st year,NA,Chemistry,"English: intermeidate, Mandarin: advanced",Yes,NA,,,,,,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,provide inspiration,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Improving organization, flow, transitions",NA,Less confident about my writing,Strongly agree,,,AI brings creative inspiration to your writing,Overreliance on AI will lead to lack of thinking,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P130,ENV,winter_2024,2nd year,NA,Neurobiology,"English:advanced, French: advanced, Spanish: intermediate, Italian: beginner",Yes,NA,,,,,,Yes,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,Restructure and edit,Could lead to plagiarism,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P131,ECO,winter_2024,4th year,NA,Ecological management and restoration,"English: advanced , Mandarin: advanced",Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,I use it for double checking any mistakes that I didn’t catch,Somewhat understand,Strongly agree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Saves time and may catch mistakes I didn’t notice,AI makes mistakes so using AI requires a deeper understanding of the topic to catch mistakes the tool made,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P132,ENV,winter_2024,2nd year,NA,Bio,English: advanced. Spanish: intermediate,Yes,NA,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,Just to get general ideas,Somewhat understand,Somewhat agree,Somewhat agree,No,NA,NA,More confident about my writing,Neither agree nor disagree,,,Better topic choice,Possible incorrect information,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P133,ENV,winter_2024,3rd year,NA,economy,english- intermediate,No,19,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Strongly agree,Yes,Editing for grammar and word choice,NA,More confident about my writing,Somewhat agree,,,"I think chatgpt allows writers to consider more aspects, I don't often use AI software to write, so I don't know chatgpt very well","I think that if a lot of people are using chatgpt to complete the same topic, then many of them have the same opinions and writing techniques, and do not generate personal opinions",NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P134,ENV,winter_2024,4th year,NA,Economics,"Chinese: Advanced, English: intermediate",No,14,,,,,,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"To make sure that my english is correct,",Somewhat understand,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos",NA,More confident about my writing,Somewhat agree,,,It can improve writing for non english speakers,Sometimes it might get it wrong,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P135,ENV,winter_2024,3rd year,NA,ecn,Mandarin?advanced,No,20,,,,,,Yes,2 = infrequently,Feedback (ask AI to provide comments on your work),NA,it gives very good suggestions,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Strongly agree,,,it can help me become excelsior,might not be clear,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P136,APW,winter_2024,1st year,NA,Biochemistry and Molecular Biology,English: advanced,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither understand nor do NOT understand,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,Strongly agree,,,I think using AI could be useful to receive feedback if used properly. There would have to be certain maneuvers to take into account such as the fact that it is artificial.,Unoriginal work. That has been drilled into my brain by every teacher/professor so far.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P137,HSW,winter_2024,3rd year,NA,Nutrition Science,"English: advanced, Spanish: beginner",Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,"I mainly use it to see if my sentences come off clearly so they are easy to read. They are mainly used for grammar, punctuation, and sentence structure.",Somewhat understand,Somewhat agree,Somewhat agree,No,NA,NA,Unsure,Strongly agree,,,"It can be helpful for punctuation and grammar, they can also be good at detecting tone in writing.",It may give feedback on what to change but that change may not be something that the instructor is looking for in a piece of writing.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
