Participant_ID,Multilingualism,Language_immigration_background,age_arrival_US,MIGS,Course_pre,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,ethnicity_write_pre,confident_write_academic_paper_pre,confident_write_clearly_pre,good_grades_pre,generating_ideas_easy_pre,strategies_difficulties_pre,persistence_pre,task_on_time_pre,SE_pre,Used_AI_pre,Frequence_use_AI,Uses_of_AI,Uses_of_AI_write,Why_use_AI,Understand_limitations_pre,AI_Valuable_part_process_pre,AI_Plagiarism_pre,Drafts_pre,Focus_drafts_pre,Focus_drafts_write_pre,Feedback_feel_pre,Feedback_importance_pre,TA_feedback_clarity_helpful_pre,Peer_feedback_clarity_helpful_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Term_post,Time_post,Year_post,Year_write_post,Major_post,Course_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in_post,Language_write_in_other_post,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,ethnicity_write_post,confident_write_academic_paper_post,confident_write_clearly_post,good_grades_post,generating_ideas_easy_post,strategies_difficulties_post,persistence_post,task_on_time_post,SE_post,Drafts_post,Focus_drafts_post,Focus_drafts_write_post,Feedback_feel_post,Feedback_importance_post,TA_feedback_clarity_helpful_post,Peer_feedback_clarity_helpful_post,Uses_of_AI_course_post,Uses_of_AI_course_write_post,Why_use_AI_course_post,AI_helpful_open_ended_post,Continue_conversation_post,Continue_conversation_write_post,Frequency_AI_use_post,Understand_limitations_post,ChatGPT_feedback_useful_post,ChatGPT_feedback_accurate_post,ChatGPT_feedback_implement_post,ChatGPT_feedback_continue_post,AI_Valuable_part_process_post,AI_Plagiarism_post,peer_feedback_useful_post,peer_feedback_accurate_post,peer_feedback_implement_post,peer_feedback_continue_post,peer_Valuable_part_process_post,peer_Plagiarism_post,peer_motivate_revise_post,AI_motivate_revise_post,AI_and_peer_feedback_post,Preferred_feedback_post,Preferred_feedback_write_post,Advantages_AI_post,Disadvantages_AI_post
P_25_7,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Cinema and Digital Media ,"English: advanced, Tagalog: intermediate, American Sign Language: beginner ",Yes,,No,,Yes,,Asian/Pacific Islander,,2,1,2,1,1,0,2,1.29,Yes,4 = frequently,,,"I use it for rewording and clarification purposes. In terms of rewording, I feel that I'm not good with words and need help to make my ideas achieve its purpose. With clarification, sometimes a source might be difficult for me to fully understand. ",2,1,0,Yes,,,,,,,,,,,spring_25,post,1st year,,Cinema & Digital Media,CDM 1 Intro. to Film Studies,"English: advances, Tagalog: intermediate, American Sign Language: beginner",No,8 months old,,,No,,No,,Asian/Pacific Islander,,2,1,2,0,1,2,2,1.43,No,,,No impact on confidence,2,2,1,,,"help with clarity, help with making my preexisting ideas sounds more clear, paraphrasing /summarizing",,,,4 = frequently,2,,,,,1,0,,,,,,,,,,Both AI and peer feedback,,it’s more critical of things that a person might not be able to catch or think there is an issue with ,might not fully grasp meaning or style the writer intends
P_25_8,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,3rd year,,Psychology B.S.,"English: advanced, Japanese: intermediate, Mandarin: intermediate",Yes,,No,,Prefer not to answer,,Asian/Pacific Islander,,2,1,2,1,2,1,1,1.43,Yes,2 = infrequently,,,In the past I have used it to brainstorm and provide summaries and / or parse through academic research papers.,1,1,-1,No,,,No impact on confidence,0,1,1,Other,feedback from instructors,I think Generative AI can be useful for analyzing your paper for grammar and other errors.,"I think AI can be prone to making mistakes or have awkward sentence structure, and often I have found it to be unreliable in this regard.",spring_25,post,3rd year,,Psychology,CDM 1 Intro. to Film Studies,"English: advance, Japanese: intermediate-advanced, Mandarin: intermediate",Yes,,,,No,,Prefer not to answer,,Asian/Pacific Islander,,1,2,2,0,1,1,2,1.29,No,,,No impact on confidence,1,1,1,,,"I use AI to organize my ideas, fix grammatical or syntax errors, and summarize articles.",,,,3 = neither frequently nor infrequently,2,,,,,1,-1,,,,,,,,,,Both AI and peer feedback,,I think when it comes to grammar / punctuation they can be more accurate and straightforward about potential errors.,"Sometimes the phrasing of things by AI is a bit awkward, particularly when it comes to longer sentences."
P_25_9,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Communications,English: advanced,Yes,,Yes,,No,,Asian/Pacific Islander,,1,1,2,1,1,2,2,1.43,Yes,2 = infrequently,,,I use it generate ideas as to how I can better my writing and make it clearer for the reader.,2,0,0,No,,,Less confident about my writing,1,2,1,Both AI and peer feedback,,I think the advantages are that chatbots can give you suggestions right aqay as to how you can better your writing. I also think that AI can give you things to think about that someone may not have pointed out.,"The disadvantages are that a lot of people misuse AI and instead of iusijg it to help them learn and write better, they use it because they feel lazy in doing the work.",spring_25,post,1st year,,Communications and Managerial Economics,CDM 1 Intro. to Film Studies,English: Advanced,Yes,,,,Yes,,Prefer not to answer,,Asian/Pacific Islander,,2,1,2,1,2,2,2,1.71,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,1,2,2,,,"I use AI to help me recognize grammar mistakes, as well as ask it for ways I can improve the content of my writing, making it more thoughtful and concise",,,,4 = frequently,2,,,,,1,0,,,,,,,,,,Both AI and peer feedback,,"Rhe benefits of AI-powered chatbots is that they are able to recognize grammar and sentence constructions, as well as provide suggestions for improving content","The disadvantage is that many people would use AI for the writing itself, using it as a crutvh instead of a tool."
P_25_10,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,, Computer Science,Advanced English,Yes,,No,,No,,"African-American/Black,Asian/Pacific Islander,White/Caucasian",,2,2,2,1,2,1,1,1.57,Yes,1 = never,,,"I don't use AI in my writing process because it takes the human out of the humanities. The whole point of writing is to express your own thoughts and opinions in your own words, AI takes all of that away. It also takes the work other people, many of which didn't consent for their work to be used this way. AI takes away the main point of writing and art. ",1,0,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Strengthening Argument",,More confident about my writing,2,2,1,Peer feedback,,"Every professor wants a different style or something different, so it's really based on who's assigning the writing. I think it could give a few ideas, however those ideas may be incorrect. ","AI has been proven to be wrong on many occasions, so feedback my not be helpful. ",spring_25,post,1st year,,Computer Science,CDM 1 Intro. to Film Studies,English: advanced,Yes,,,,No,,No,,"African-American/Black,Asian/Pacific Islander,White/Caucasian",,2,2,2,1,1,1,1,1.43,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",,More confident about my writing,1,2,1,,,"No, because I think writing should be original thought, not generated and stolen from another place.",,,,3 = neither frequently nor infrequently,2,,,,,0,1,,,,,,,,,,Peer feedback,,It can comment on structure and form; could help with grammar,"It is often wrong and it cannot have the full context of where you are writing from, so it will always be limited in its responses or even incorrect"
P_25_11,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Biological Science,English: advanced,Yes,,No,,No,,White/Caucasian,,1,2,0,1,2,2,2,1.43,No,1 = never,,,,2,0,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,Unsure,2,0,1,Peer feedback,,,,spring_25,post,1st year,,Biological Sciences,CDM 1 Intro. to Film Studies,English: advanced,Yes,,,,No,,No,,White/Caucasian,,2,2,2,1,2,2,2,1.86,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,0,1,,,I used AI in this class to revise my essay using the instructions provided in class.,,,,1 = never,2,,,,,0,0,,,,,,,,,,Peer feedback,,AI can be helpful to find grammar mistakes and help with organization.,AI can give generic feedback and may not understand the prompt.
P_25_12,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Human Development,English: advanced; Tagalog: beginner,Yes,,No,,No,,Asian/Pacific Islander,,2,1,2,2,2,0,0,1.29,Yes,3 = neither frequently nor infrequently,,,I use AI to summarize or better understand a piece of literature that I have to read for an essay. ,2,1,1,No,,,No impact on confidence,2,2,1,Both AI and peer feedback,,AI can benefit as feedback from my writing because it can tell me grammatical errors.,AI is not perfect so things they can say something is wrong/right when it's not.,spring_25,post,1st year,,Human Development ,CDM 1 Intro. to Film Studies,"English: advanced, Tagalog: beginner ",Yes,,,,No,,No,,Asian/Pacific Islander,,2,1,2,1,2,1,2,1.57,No,,,More confident about my writing,2,2,1,,,I ask for feedback or synonyms for words. Sometimes if I can't figure out a word I want to include in a sentence I ask chatgpt what word might fit within the sentence. ,,,,3 = neither frequently nor infrequently,2,,,,,1,0,,,,,,,,,,Other,Instructor or TAs,sometimes their grammar is not accurate,it may not align with guidelines from professor
P_25_13,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Applied Physics,English: advanced,Yes,,No,,No,,Asian/Pacific Islander,,2,2,2,2,2,2,2,2,Yes,1 = never,,,I believe using AI for writing projects is inauthentic to the author's artistic intent and limits creativity with artificial meaning. ,1,-1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,1,1,1,Peer feedback,,"Since Generative AI chatbots have access to a near unlimited stream of resources, recieving feedback from the chatbot is almost as effective as recieving feedback from hundreds of ""people."" ","In the same vein, recieving almost objective feedback from a Chatbot generating information makes the art of writing more objective than it is subjective.",spring_25,post,1st year,,Applied Physics,CDM 1 Intro. to Film Studies,English,Yes,,,,No,,Yes,,Asian/Pacific Islander,,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,1,1,,,"Before using ClaudAI for this assignment, I had not used AI. This is because I felt as if using an AI for the writing process would be an ingenuine and article representation of my actual writing capabilities.",,,,2 = infrequently,1,,,,,1,0,,,,,,,,,,Both AI and peer feedback,,An advantage of generative AI feedback when using a specific prompt is that it is objective and straightforward whereas a peer review may be more biased and too “kind” to the paper.,"As mentioned above, a specific prompt is required to make the AI response actually beneficial to the writing and coming up with these specific prompts can be difficult to first-time AI users. "
P_25_14,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,2nd year,,"Neurobiology, Physiology, and Behavior ","English: Advanced, Spanish: Advanced ",Yes,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,1,0,1,2,2,2,1.43,Yes,1 = never,,,"I haven’t used AI for writing, I just recently started using AI last quarter to explain so concepts to me and I wasn’t taking a writing course last quarter. ",2,2,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",,More confident about my writing,2,1,2,Peer feedback,,I would assume it would be pretty accurate for determining grammatically errors. I’m not sure how well it works with conveying style or strengthen arguments. ,I would assume using it too much could lead to an AI detection in a paper which could become a bigger issue.  ,spring_25,post,2nd year,,"Neurobiology, Physiology, and Behavior ",CDM 1 Intro. to Film Studies,"English: advanced, Spanish: advanced ",Yes,,,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,2,2,1,2,2,2,1.86,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,1,,,"Checking for grammar, if I’m above a word count asking it to  condense it for me",,,,4 = frequently,2,,,,,2,-1,,,,,,,,,,"Generative AI feedback (ChatGPT, Claude, Bard, etc.)",,It’s a machine it’s going to be obviously better at providing feedback in terms of organizing the feedback structure and understanding questions/ideas,Can get flagged for using if not using properly is scary. I’ve also tried to use AI morally but am still afraid of getting in trouble given controversy 
P_25_15,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,4th year,,Statistics,English: advanced,Yes,,No,,No,,White/Caucasian,,1,2,1,1,2,2,2,1.57,Yes,5 = very frequently,,,I use it to fix grammatical errors,2,-2,2,No,,,More confident about my writing,2,1,1,Peer feedback,,outline of areas of inprovement,loosing the ability to think for yourself,spring_25,post,4th year,,Statistics,CDM 1 Intro. to Film Studies,English: advanved,Yes,,,,No,,No,,White/Caucasian,,2,2,1,1,2,2,1,1.57,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,Unsure,2,2,1,,,,,,,1 = never,1,,,,,1,1,,,,,,,,,,Both AI and peer feedback,,using AI feed back in this class helped me find surface level issues in my writing.,I am worried that i will come dependent on it and be a worse writer.
P_25_17,monolingual,monolingual,birth,other,CTS 40B 40B Media History II 1945-Present,spring_25,3rd year,,Cinema and Digital Media; History,English: advanced,Yes,,No,,Yes,,White/Caucasian,,2,2,2,2,2,2,2,2,Yes,1 = never,,,I have moral problems with using a plagiarism machine to do my thinking for me.,1,-1,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,Peer feedback,,"AI tools have stolen writing from far better writers than me so they can critique my writing to make it match the writing of the authors it stole from in a way my peers, who may not have read that author’s writing, cannot.","Generative AI relies on using stolen artistic work which it then uses to generate something that sounds like it could be correct English. This leads to misinformation, mistakes, plagiarism, lack of clarity, lack of proper citations, incorrect grammar, and a whole host of other problems. That’s before I even get into the creativity and critical thinking processes writers would be losing by turning to AI instead of their peers. ",spring_25,post,3rd year,,History and Cinema and Digital Media Double Major,STS/CTS 40B Media History 1945 - present,"English: Native, Spanish: Intermediate",Yes,,,,No,,Yes,,White/Caucasian,,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,1,1,1,,,"I do not use it because I am not a fan of plagiarism or misinformation and enjoy living on Earth. Since AI steals from other creatives to make writing that's usually full of false information and destroys the environment to do so, I haven't really seen a reason for it.",,,,2 = infrequently,2,,,,,-2,2,,,,,,,,,,Peer feedback,,"If I am writing something which needs the uncanny valley feeling of writing that is simultaneously too generic, too creepily positive, and lacking substance, AI-powered chatbots are AMAZING at generating that.",There are some concerns over the potential for mistakes in the feedback it gives considering it is a plagiarism machine which generates unusable slop without fact checking.
P_25_18,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Anthropology ,English: Advance,Yes,,No,,No,,White/Caucasian,,2,2,2,2,2,2,2,2,No,1 = never,,,I don’t use it cause I want my writing to be all my own and often these AIs make a lot of mistakes. ,1,-2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,1,Peer feedback,,It’s probably quicker than having a human read and check your grammar,Chatbots often make mistakes or easily misunderstand things that a normal person wouldn’t ,spring_25,post,1st year,,Anthropology ,CDM 1 Intro. to Film Studies,English: Advanced ,Yes,,,,No,,No,,White/Caucasian,,2,2,1,1,1,2,2,1.57,Yes,"Editing for grammar and word choice,Checking citations,Improving use of evidence,Strengthening Argument",,More confident about my writing,1,2,1,,,,,,,1 = never,1,,,,,1,0,,,,,,,,,,Peer feedback,,I think it might be able to help me with grammar and finding the right words to convey my argument ,Generative AI can make mistakes and seem nonsensical at times and I worry that using it could harm my writinf
P_25_19,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,undecided,English: intermediate  Mandarin:advanced ,No,,Yes,,No,,Asian/Pacific Islander,,1,1,1,1,2,2,2,1.43,Yes,5 = very frequently,,,check grammar errors ,2,2,2,No,,,More confident about my writing,0,2,2,Both AI and peer feedback,,help me fix my grammar ,rely too much on it and lose the ability to think or judge whether it is not good or not ,spring_25,post,1st year,,undeclared ,CDM 1 Intro. to Film Studies,Mandarin: advanced   English: intermediate ,No,,,,No,,No,,Asian/Pacific Islander,,1,1,0,0,1,1,1,0.71,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions",,More confident about my writing,2,2,2,,,help me with grammar mistakes and collocation error,,,,3 = neither frequently nor infrequently,2,,,,,2,2,,,,,,,,,,Both AI and peer feedback,,help me organize the structure ,it makes me overrely on it and lose the ability to think independently 
P_25_20,multilingual,multilingual_LOTE_HLFL,birth,other,CTS 40B 40B Media History II 1945-Present,spring_25,2nd year,,Cinema and Digital Media,"English: advanced, Russian: beginner, Spanish: beginner.",Yes,,No,,Yes,,White/Caucasian,,2,2,2,1,1,1,2,1.57,Yes,1 = never,,,I do not use AI in my writing process since I can come up with my ideas and write well. I figure that the context of the class can't be understood by AI so I choose not to use it for classes altogether.,1,1,-1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,Peer feedback,,It will probably correct grammar and punctuation issues.,AI won't be able to understand by argument that well.,spring_25,post,2nd year,,Cinema and Digital Media,STS/CTS 40B Media History 1945 - present,"English: advanced, Russian: beginner, Spanish: beginner",Yes,,,,No,,Yes,,White/Caucasian,,1,1,2,1,1,2,1,1.29,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,,,I don't use AI because I trust my writing ideas more.,,,,1 = never,1,,,,,-1,1,,,,,,,,,,Peer feedback,,It could fix gramatical and punctation issues.,AI doesn't understand the context of the class I'm writing the paper for so it can't curate a specific piece of work to fit within the class and it's values.
P_25_21,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,3rd year,,Cognitive Science and Cinema and Digital Media,"English: advanced, Mandarin: advanced, Japanese: intermediate",Yes,,No,,No,,Asian/Pacific Islander,,-1,0,0,-1,-1,-2,1,-0.57,Yes,2 = infrequently,,,I use it for clarifying prompts if I don’t understand certain parts.,2,1,0,Yes,"Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",,More confident about my writing,2,2,-1,Other,TA or Professor ,,,spring_25,post,3rd year,,Cognitive Science and Cinema and Digital Media,CDM 1 Intro. to Film Studies,"English: Advanced, Mandarin: Intermediate, Japanese: Intermedita",Yes,,,,No,,Prefer not to answer,,Asian/Pacific Islander,,0,1,0,0,-1,-1,1,0,No,,,More confident about my writing,2,2,2,,,I use it to clarify problems or concepts I don’t understand fully.,,,,2 = infrequently,2,,,,,1,1,,,,,,,,,,Peer feedback,,,
P_25_22,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,2nd year,,"Wildlife, Fish, and Conservation Biology(WFCB)",English:advanced;Spanish:advanced,Yes,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,1,1,2,0,1,2,2,1.29,Yes,4 = frequently,,,I use it for general/basic outlines and to check what else could be added or removed from my writing.,2,1,0,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,No impact on confidence,2,2,2,Both AI and peer feedback,,"Just overall if you're descriptive of your concerns, AI can quickly help you identify where you may have added those ""concerns"" within your paper/writting. ",The feedback may be to general and unhelpful.,spring_25,post,2nd year,,"Wildlife, Fish, and Conservation Biology",CDM 1 Intro. to Film Studies,"English-advanced,Spanish- advanced",Yes,,,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,1,1,2,1,1,2,2,1.43,No,,,More confident about my writing,2,2,1,,,I use it to help me build a structure for my papers and I use it to review my final product to see what I need to add or get rid of. ,,,,4 = frequently,2,,,,,0,-1,,,,,,,,,,Peer feedback,,"It is able to point small grammatical errors or inconsistencies within my writing, makes polishing the final product much easier.","Some specific feedback isn't always the best, it can be confusing and sometimes not very accurate."
P_25_23,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Animal Science ,English: advanced,Yes,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,2,2,2,2,2,2,2,Yes,2 = infrequently,,,I have used it to check my writing such as grammar.,2,2,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,1,Both AI and peer feedback,,I believe some advantages would be using AI-powered chatbots for grammar checks as well as giving overall corrections and suggestions in my writing.,,spring_25,post,1st year,,Animal Science,CDM 1 Intro. to Film Studies,English: advanced,Yes,,,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,2,2,2,2,2,2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,,,It can help give me feedback when I am writing my paper.,,,,3 = neither frequently nor infrequently,2,,,,,2,1,,,,,,,,,,Both AI and peer feedback,,AI- powered chatbots can help your paper by giving feedback such as things to add or improve on your paper to make it look and sound better.,
P_25_24,monolingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Undeclared ,English: advanced ,Yes,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,0,2,1,0,2,1,1,1,Yes,3 = neither frequently nor infrequently,,,I use it to help me build a stronger structure and tell chatgpt if my sentences make sense,2,0,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,Both AI and peer feedback,,I dont have to wait for their responce peer responces can be bias and chat gpt can be straight to the point,Na,spring_25,post,1st year,,undeclared,CDM 1 Intro. to Film Studies,English: advanced,Yes,,,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,2,2,,,If I have writer's block or grammatical errors,,,,3 = neither frequently nor infrequently,2,,,,,0,2,,,,,,,,,,Both AI and peer feedback,,"more ideas, time management",start relying on AI
P_25_25,multilingual,monolingual,birth,other,CDM 1 Introduction to Film Studies,spring_25,2nd year,,Political Science ,"English: advanced, Telugu: intermediate ",Yes,,No,,No,,Asian/Pacific Islander,,2,2,1,1,2,2,2,1.71,Yes,1 = never,,,I don't want to be come reliant on it for ideas and I don't want to risk getting in trouble for using it. I also think that right now I am confident in my skills as a writer so I don't feel the need to use it.. ,2,-1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,2,1,0,Peer feedback,,I think that AI can help with proof reading and it can also give tips on how to make your writing and arguments flow better ,I think that AI can a lot of times provide wrong information which is not helpful for writing but I am concerned that people will rely too heavily on it. ,spring_25,post,2nd year,,Political Science and Economics ,CDM 1 Intro. to Film Studies,"English: Advanced, Telugu: Intermediate, Spanish: intermediate ",Yes,,,,No,,No,,Asian/Pacific Islander,,2,2,2,1,2,2,2,1.86,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,More confident about my writing,1,1,0,,,"I don't usually use AI in my writing process. This quarter, in my film class we were tasked with using AI to give us feedback on our paper and that was the first time I used AI for my writing. I usually don't use it because I have confidence in my own writing abilities to write a good paper and get a good grade. I also have fear of being accused of cheating or plagiarism if I were to use these tools. ",,,,2 = infrequently,2,,,,,-1,0,,,,,,,,,,Peer feedback,,"I think that AI-powered chatbots can be helpful in making sure that you meet all the requirements of an assignment, especially if you also include the grading rubric or assignment details along with your paper. ","I am concerned that if we start integrating AI more in our writing, students will become more reliant on it and not have the proper tools to develop arguments and form a cohesive paper. "
P_25_26,multilingual,unknown,unknown,other,,spring_25,,,,,,,No,,Yes,,White/Caucasian,,1,2,2,1,2,2,2,1.71,Yes,2 = infrequently,,,"Chemistry assistance, as I was stuck on a problem, and office hours had passed.",1,-2,2,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",,More confident about my writing,1,1,1,Peer feedback,,"Very efficient, done whenever you want it.",…It is not human feedback.,spring_25,post,1st year,,Enviornmental Science and Management with a minor in Plant Biology.,CDM 1 Intro. to Film Studies,"English: advanced, German: beginner.",Yes,,,,No,,Yes,,"Asian/Pacific Islander,White/Caucasian",,2,2,2,1,2,2,2,1.86,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",,No impact on confidence,1,2,1,,,"I used to use it with citation help, but I have stopped since.",,,,2 = infrequently,1,,,,,1,2,,,,,,,,,,Peer feedback,,"I mean, the AI can directly tell what is missing when given a set of guidelines. ",It takes away from the human aspect of writing.
P_25_27,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Plant Science,"English- advanced, Spanish- advanced, Japanese-beginner, german-beginner ",Yes,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,2,1,2,1,2,2,1.71,Yes,2 = infrequently,,,I ask it how I can make some of my arguments clearer or better and then use its advice to improve my writing.,2,1,-1,No,,,More confident about my writing,0,2,1,Other,instructor feedback ,"easily accessible, fits with your schedule and can often give you feedback you need.",If used incorrectly it may lead to using it to write for you and give you your ideas,spring_25,post,1st year,,Plant Science,CDM 1 Intro. to Film Studies,"Spanish -fluent, English- fluent",Yes,,,,Yes,,Yes,,Hispanic/Latinx/Chicanx,,2,2,2,2,2,2,2,2,No,,,More confident about my writing,1,1,0,,,Ask for suggestions since its quick.,,,,3 = neither frequently nor infrequently,1,,,,,0,-1,,,,,,,,,,"Generative AI feedback (ChatGPT, Claude, Bard, etc.)",,its quick and straight to the point with suggestions,none
P_25_28,multilingual,multilingual_LOTE_HLFL,birth,other,CDM 1 Introduction to Film Studies,spring_25,1st year,,Managerial Economics,"English : Advance, Spanish : Beginner",Yes,,Yes,,Yes,,White/Caucasian,,1,0,1,-1,1,2,1,0.71,No,1 = never,,,I don't think I need it to succeed ,1,0,1,No,,,More confident about my writing,2,2,2,Peer feedback,,It could help you find,It is cheating and could hurt your creative process,spring_25,post,1st year,,Managerial Economics ,CDM 1 Intro. to Film Studies,"English : advanced, Spanish : beginner ",Yes,,,,Yes,,Yes,,White/Caucasian,,1,1,1,2,2,1,1,1.29,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving organization, flow, transitions",,More confident about my writing,2,2,1,,,I don't really use it besides to peer review my writing ,,,,2 = infrequently,1,,,,,0,1,,,,,,,,,,Peer feedback,,They might catch things that other people wouldn't ,It seems like a form of cheating 
